id,name,category,address,phone,description,status,latitude,longitude,created_at,photo_url,photo_path,photo_taken_at
37,LEADER PRICE,MARCHE,Camayenne,,Un supermarché leader price de camayenne,ACTIF,9.536027,-13.688020,2026-02-11 14:32:15.480588+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/37/1770820369811.jpg,poi/37/1770820369811.jpg,2026-02-11 14:33:00.953+00
38,Le Royal,RESTAURANT,Camayenne Royal Restaurant,,Un restaurant malaisien près de Palm camayenne,ACTIF,9.536135,-13.687939,2026-02-11 14:34:27.490159+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/38/1770820467647.jpg,poi/38/1770820467647.jpg,2026-02-11 14:34:33.791+00
39,Pharmacie de garde,PHARMACIE,Camayenne,,Pharmacie du quartier,ACTIF,9.536711,-13.687444,2026-02-11 14:38:27.415898+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/39/1770820711426.jpg,poi/39/1770820711426.jpg,2026-02-11 14:38:39.373+00
40,MOSQUÉE CAMAYENNE,MOSQUEE,Camayenne,,Mosquée de camayenne,ACTIF,9.53592,-13.686688,2026-02-11 14:40:31.912813+00,,,
41,International clinic Conakry,HOPITAL,Camayenne,,Hôpital privé,ACTIF,9.536927,-13.686895,2026-02-11 14:42:51.578624+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/41/1770820971753.jpg,poi/41/1770820971753.jpg,2026-02-11 14:42:54.065+00
42,Cité ministériel,AUTRES,Camayenne,,,ACTIF,9.538402,-13.683642,2026-02-11 15:01:47.898075+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/42/1770822108028.jpg,poi/42/1770822108028.jpg,2026-02-11 15:01:52.172+00
43,OMS,PHARMACIE,Organisation mondiale de la santé OMS,,Organisation de la santé,ACTIF,9.539071,-13.6840323,2026-02-11 15:03:05.430955+00,,,
44,Pharmacie Donka,PHARMACIE,Pharmacie Donka,,,ACTIF,9.5395114,-13.6829584,2026-02-11 15:09:57.876597+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/44/1770822598003.jpg,poi/44/1770822598003.jpg,2026-02-11 15:10:00.49+00
45,BAOWU,AUTRES,Route donka,,Immeuble baowu,ACTIF,9.541854,-13.680780,2026-02-11 15:10:43.533246+00,,,
46,Ambassade de Palestine,ADMINISTRATION,Ambassade de l’Etat de paslestine en Guinée,,Ambassade de l’Etat de Palestine,ACTIF,9.5408319,-13.6823804,2026-02-11 15:14:53.848571+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/46/1770822894004.jpg,poi/46/1770822894004.jpg,2026-02-11 15:14:56.609+00
47,Baowo,HOTEL,Camayenne,,,ACTIF,9.541758,-13.68086,2026-02-11 15:18:43.550933+00,https://aeetsakqivgvrzwxvcdr.supabase.co/storage/v1/object/public/poi-photos/poi/47/1770823123674.jpg,poi/47/1770823123674.jpg,2026-02-11 15:18:47.393+00
